subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
424,2,32,1,1,NA,3,NA,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,1,NA,1,video
424,2,32,1,1,NA,3,NA,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,0,NA,6,video
425,2,34,2,NA,1,1,1,NA,naive,single_best,single_best,NA,NA,NA,0,1,5,video
425,2,34,2,NA,1,1,1,NA,naive,single_best,single_best,NA,NA,NA,0,NA,2,video
425,2,34,2,NA,1,1,1,NA,naive,single_best,single_best,NA,NA,NA,0,NA,6,video
426,2,53,1,2,NA,1,1,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_1,0,1,5,video
426,2,53,1,2,NA,1,1,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_1,1,NA,4,video
426,2,53,1,2,NA,1,1,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_1,1,NA,6,video
427,2,21,1,1,NA,1,1,NA,targeting,targeting,single_best,cov_profile_1,cov_profile_3,NA,1,1,2,video
427,2,21,1,1,NA,1,1,NA,targeting,targeting,single_best,cov_profile_1,cov_profile_3,NA,0,NA,1,video
427,2,21,1,1,NA,1,1,NA,targeting,targeting,single_best,cov_profile_1,cov_profile_3,NA,1,NA,7,video
428,2,31,3,NA,NA,3,NA,NA,single_best,control,naive,NA,NA,NA,0,1,4,video
